,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
263,29,0.008915209000406321,47.0,3331.0,110,0.1,950
264,30,0.00912166700072703,47.0,3442.0,110,0.1,950
265,31,0.009333500000138883,47.0,3553.0,110,0.1,950
266,32,0.009539000000586384,47.0,3664.0,110,0.1,950
267,33,0.009747042000526562,47.0,3775.0,110,0.1,950
268,34,0.00995454200074164,47.0,3886.0,110,0.1,950
269,35,0.010161791999962588,47.0,3997.0,110,0.1,950
270,36,0.010373000000072352,47.0,4108.0,110,0.1,950
271,37,0.01057833400045638,47.0,4219.0,110,0.1,950
272,38,0.010786042000290763,47.0,4330.0,110,0.1,950
273,39,0.010994625000421365,47.0,4441.0,110,0.1,950
274,40,0.011202624999896216,47.0,4552.0,110,0.1,950
275,41,0.011416334000386996,47.0,4663.0,110,0.1,950
276,42,0.011623500000496279,47.0,4774.0,110,0.1,950
277,43,0.011830417000055604,47.0,4885.0,110,0.1,950
278,44,0.012126750000788888,47.0,4996.0,110,0.1,950
279,45,0.012343959000645555,47.0,5107.0,110,0.1,950
280,46,0.012554584000099567,47.0,5218.0,110,0.1,950
281,47,0.012766333999934432,47.0,5329.0,110,0.1,950
282,48,0.012978708999980881,47.0,5440.0,110,0.1,950
283,49,0.013196333999985654,47.0,5551.0,110,0.1,950
284,50,0.013412625000455591,47.0,5662.0,110,0.1,950
285,51,0.019328209000377683,47.0,5773.0,110,0.1,950
286,52,0.019558042000426212,47.0,5884.0,110,0.1,950
287,53,0.019779917000050773,47.0,5995.0,110,0.1,950
288,54,0.01999725000041508,47.0,6106.0,110,0.1,950
289,55,0.020210500000757747,47.0,6217.0,110,0.1,950
290,56,0.020426916999895184,47.0,6328.0,110,0.1,950
291,57,0.02063983400057623,47.0,6439.0,110,0.1,950
292,58,0.020853709000220988,47.0,6550.0,110,0.1,950
293,59,0.02106691700009833,47.0,6661.0,110,0.1,950
294,60,0.021287625000695698,47.0,6772.0,110,0.1,950
295,61,0.02150420900034078,47.0,6883.0,110,0.1,950
296,62,0.021724334000282397,47.0,6994.0,110,0.1,950
297,63,0.021935792000476795,47.0,7105.0,110,0.1,950
298,64,0.02215045899993129,47.0,7216.0,110,0.1,950
299,65,0.02235625000048458,47.0,7327.0,110,0.1,950
300,66,0.02257037500021397,47.0,7438.0,110,0.1,950
301,67,0.02278745900002832,47.0,7549.0,110,0.1,950
302,68,0.023000084000159404,47.0,7660.0,110,0.1,950
303,69,0.02321479200054455,47.0,7771.0,110,0.1,950
304,70,0.023431792000337737,47.0,7882.0,110,0.1,950
305,71,0.023642834000384028,47.0,7993.0,110,0.1,950
306,72,0.02385625000079017,47.0,8104.0,110,0.1,950
307,73,0.024065834000793984,47.0,8215.0,110,0.1,950
308,74,0.024279000000205997,47.0,8326.0,110,0.1,950
309,75,0.024489500000527187,47.0,8437.0,110,0.1,950
310,76,0.024708500000087952,47.0,8548.0,110,0.1,950
311,77,0.02492675000030431,47.0,8659.0,110,0.1,950
312,78,0.02513795899994875,47.0,8770.0,110,0.1,950
313,79,0.025347959000100673,47.0,8881.0,110,0.1,950
314,80,0.02556612500029587,47.0,8992.0,110,0.1,950
315,81,0.02578537499994127,47.0,9103.0,110,0.1,950
316,82,0.02600962500036985,47.0,9214.0,110,0.1,950
317,83,0.026236833999973896,47.0,9325.0,110,0.1,950
318,84,0.02646041700063506,47.0,9436.0,110,0.1,950
319,85,0.026674042000195186,47.0,9547.0,110,0.1,950
320,86,0.026896917000158282,47.0,9658.0,110,0.1,950
321,87,0.027120959000058065,47.0,9769.0,110,0.1,950
322,88,0.027341750000232423,47.0,9880.0,110,0.1,950
323,89,0.02759454200077016,47.0,9991.0,110,0.1,950
324,90,0.027881667000656307,47.0,10102.0,110,0.1,950
325,91,0.028106292000302346,47.0,10213.0,110,0.1,950
326,92,0.028329917000519345,47.0,10324.0,110,0.1,950
327,93,0.028544499999952677,47.0,10435.0,110,0.1,950
328,94,0.02875770900027419,47.0,10546.0,110,0.1,950
329,95,0.028971167000236164,47.0,10657.0,110,0.1,950
330,96,0.02918641700034641,47.0,10768.0,110,0.1,950
331,97,0.029398708999906376,47.0,10879.0,110,0.1,950
332,98,0.02961295900058758,47.0,10990.0,110,0.1,950
333,99,0.02982804200019018,47.0,11101.0,110,0.1,950
334,100,0.03003995900053269,47.0,11212.0,110,0.1,950
335,101,0.03218787500009057,47.0,11323.0,110,0.1,950
336,102,0.03241008400073042,47.0,11434.0,110,0.1,950
337,103,0.03262970900050277,47.0,11545.0,110,0.1,950
338,104,0.032845250000718806,47.0,11656.0,110,0.1,950
339,0,0.00017783400016924134,18.0,160.0,160,0.1,950
340,1,0.0028357090004647034,44.0,322.0,160,0.1,950
341,2,0.0030972920003478066,47.0,484.0,160,0.1,950
342,3,0.0033235000000786385,47.0,645.0,160,0.1,950
343,4,0.0035416250002526795,47.0,806.0,160,0.1,950
344,5,0.0037586670005111955,47.0,967.0,160,0.1,950
345,6,0.003972375000557804,47.0,1128.0,160,0.1,950
346,7,0.004185583999969822,47.0,1289.0,160,0.1,950
347,8,0.0043975420003334875,47.0,1450.0,160,0.1,950
348,9,0.0046012920001885504,47.0,1611.0,160,0.1,950
349,10,0.004808209000657371,47.0,1772.0,160,0.1,950
350,11,0.005016417000661022,47.0,1933.0,160,0.1,950
351,12,0.005220667000685353,47.0,2094.0,160,0.1,950
352,13,0.005424459000096249,47.0,2255.0,160,0.1,950
353,14,0.005774042000666668,47.0,2416.0,160,0.1,950
354,15,0.006000334000418661,47.0,2577.0,160,0.1,950
355,16,0.006219249999958265,47.0,2738.0,160,0.1,950
356,17,0.006431042000258458,47.0,2899.0,160,0.1,950
357,18,0.0066433340007279185,47.0,3060.0,160,0.1,950
358,19,0.006853292000414513,47.0,3221.0,160,0.1,950
359,20,0.007057250000798376,47.0,3382.0,160,0.1,950
360,21,0.0072600000003149034,47.0,3543.0,160,0.1,950
361,22,0.0074620840005081845,47.0,3704.0,160,0.1,950
362,23,0.007664084000680305,47.0,3865.0,160,0.1,950
363,24,0.007866834000196832,47.0,4026.0,160,0.1,950
364,25,0.008072250000623171,47.0,4187.0,160,0.1,950
365,26,0.008278250000330445,47.0,4348.0,160,0.1,950
366,27,0.008489458999974886,47.0,4509.0,160,0.1,950
367,28,0.008707542000593094,47.0,4670.0,160,0.1,950
368,29,0.008915209000406321,47.0,4831.0,160,0.1,950
369,30,0.00912166700072703,47.0,4992.0,160,0.1,950
370,31,0.009333500000138883,47.0,5153.0,160,0.1,950
371,32,0.009539000000586384,47.0,5314.0,160,0.1,950
372,33,0.009747042000526562,47.0,5475.0,160,0.1,950
373,34,0.00995454200074164,47.0,5636.0,160,0.1,950
374,35,0.010161791999962588,47.0,5797.0,160,0.1,950
375,36,0.010373000000072352,47.0,5958.0,160,0.1,950
376,37,0.01057833400045638,47.0,6119.0,160,0.1,950
377,38,0.010786042000290763,47.0,6280.0,160,0.1,950
378,39,0.010994625000421365,47.0,6441.0,160,0.1,950
379,40,0.011202624999896216,47.0,6602.0,160,0.1,950
380,41,0.011416334000386996,47.0,6763.0,160,0.1,950
381,42,0.011623500000496279,47.0,6924.0,160,0.1,950
382,43,0.011830417000055604,47.0,7085.0,160,0.1,950
383,44,0.012126750000788888,47.0,7246.0,160,0.1,950
384,45,0.012343959000645555,47.0,7407.0,160,0.1,950
385,46,0.012554584000099567,47.0,7568.0,160,0.1,950
386,47,0.012766333999934432,47.0,7729.0,160,0.1,950
387,48,0.012978708999980881,47.0,7890.0,160,0.1,950
388,49,0.013196333999985654,47.0,8051.0,160,0.1,950
389,50,0.013412625000455591,47.0,8212.0,160,0.1,950
390,51,0.019328209000377683,47.0,8373.0,160,0.1,950
391,52,0.019558042000426212,47.0,8534.0,160,0.1,950
392,53,0.019779917000050773,47.0,8695.0,160,0.1,950
393,54,0.01999725000041508,47.0,8856.0,160,0.1,950
394,55,0.020210500000757747,47.0,9017.0,160,0.1,950
395,56,0.020426916999895184,47.0,9178.0,160,0.1,950
396,57,0.02063983400057623,47.0,9339.0,160,0.1,950
397,58,0.020853709000220988,47.0,9500.0,160,0.1,950
398,59,0.02106691700009833,47.0,9661.0,160,0.1,950
399,60,0.021287625000695698,47.0,9822.0,160,0.1,950
400,61,0.02150420900034078,47.0,9983.0,160,0.1,950
401,62,0.021724334000282397,47.0,10144.0,160,0.1,950
402,63,0.021935792000476795,47.0,10305.0,160,0.1,950
